País;Monstruo1;Monstruo2;Monstruo3;Monstuo4;Monstuo5;Tesoro1;Tesoro2;Tesoro3;Tesoro4;Tesoro5;Pregunta1;Pregunta2;Pregunta3;Pregunta4;Pregunta5;Respuesta1A;Respuesta2A;Respuesta3A;Respuesta4A;Respuesta5A;Respuesta1B;Respuesta2B;Respuesta3B;Respuesta4B;Respuesta5B;Respuesta1C;Respuesta2C;Respuesta3C;Respuesta4C;Respuesta5C;Pista1;Pista2;Pista3;Pista4;Pista5;Excusa1;Excusa2;Excusa3;Excusa4;Excusa5
"San Vicente y las Granadinas	";El espíritu caribeño Jumbee;La bruja de fuego Soucouyant;La diablesa de pies de becerro;El protector del bosque Papa Bois;El espíritu guardián Moko Jumbie;El tesoro de los indios Caribes negros;Los escenarios de 'Piratas del Caribe';El tesoro del pirata Major Stede Bonnet;Los arrecifes de Tobago Cays;La herencia del jefe Joseph Chatoyer;¿Qué volcán es famoso?; ¿Qué animal vive en la selva?; ¿Qué árbol crece cerca de la playa?; ¿Qué fruta tropical crece?; ¿Qué ave se ve?;La Soufrière; Iguana; Palmera; Mango; Cotorra;Etna; León; Pino; Plátano; Loro;Popocatépetl; Tigre; Roble; Piña; Águila;Su capital es Kingstown; Está formado por muchas islas; Sus playas tienen barcos de pescadores; Allí se celebran carnavales; Se rodó “Piratas del Caribe”;No has podido salir del país porque estás buscando el tesoro del Capitán Jack Sparrow y crees que estás cerca.;" No has podido salir del país porque tu yate ha sido ""tomado prestado"" para una regata de celebridades."; No has podido salir del país porque estás esperando a que el volcán La Soufrière decida si va a estornudar o no.; No has podido salir del país porque te has unido a una banda de steelpan y tenéis un concierto en Mustique.; No has podido salir del país porque te has enamorado de una playa en la que se rodó Piratas del Caribe.
"Santa Lucía	";El espíritu caribeño Jumbee;La bruja de fuego Soucouyant;La diablesa de pies de becerro;El protector del bosque Papa Bois;El espíritu guardián Moko Jumbie;El tesoro del volcán Qualibou;Las montañas Pitons;El tesoro del pirata François le Clerc;El Parque Nacional de la Isla de las Palomas;La herencia cultural de los festivales;¿Qué montaña es famosa?; ¿Qué animal vive en la selva?; ¿Qué árbol crece en la playa?; ¿Qué fruta tropical se cultiva?; ¿Qué ave se ve?;Pitons; Iguana; Coco; Plátano; Cotorra;Etna; León; Pino; Mango; Paloma;Popocatépetl; Tigre; Roble; Piña; Águila;Su capital es Castries; Tiene dos montañas gemelas llamadas Pitones; Sus playas son muy bonitas; Se habla inglés y criollo; Sus mercados venden frutas tropicales;No has podido salir del país porque los pitones (las dos montañas icónicas) han decidido jugar al escondite.; No has podido salir del país porque te has bañado en los baños de azufre del volcán y ahora brillas en la oscuridad.; No has podido salir del país porque el carnaval ha empezado y te han cubierto de chocolate y pintura.; No has podido salir del país porque una boa constrictor se ha enroscado en tu maleta.; No has podido salir del país porque estás esperando a que la tirolina que cruza la selva te lleve al aeropuerto.
"Santo Tomé y Príncipe	";El fantasma de la noble Ana de Chaves;El espíritu de la dama Fia;El espíritu del mar Mussa;El viejo sabio Pai Zé;El espíritu del niño Tonecas;Las plantaciones de cacao ('roças');El tesoro de la isla de Rolas;La biodiversidad del Parque Natural Obô;El legado de la 'sociedade de plantation';Las playas de arena negra;¿Qué volcán es famoso?; ¿Qué animal vive en la selva?; ¿Qué árbol crece allí?; ¿Qué fruta se cultiva?; ¿Qué ave se ve?;Pico de São Tomé; Mono; Palmera; Plátano; Tucán;Etna; León; Roble; Mango; Loro;Popocatépetl; Tigre; Pino; Piña; Águila;Su capital es Santo Tomé; Son islas en África; Allí crecen plantas de cacao; Sus playas tienen tortugas; Sus casas son de colores alegres;"No has podido salir del país porque estás en el ""marco do equador"" intentando estar en dos hemisferios a la vez."; No has podido salir del país porque te has perdido en una plantación de cacao y te has comido el camino de vuelta.; No has podido salir del país porque la lluvia ha decidido caer durante 40 días y 40 noches.; No has podido salir del país porque estás esperando a que tu café; el mejor del mundo
"Senegal	";El bailarín enmascarado Kankurang;La serpiente de río Ninki Nanka;El genio Jinn;El espíritu Bori;El espíritu Zar;El tesoro de la Isla de Gorea;El oro del Imperio de Malí;El Monumento al Renacimiento Africano;El Lago Rosa (Lac Retba);El Parque Nacional de las Aves de Djoudj;¿Qué río cruza Senegal?; ¿Qué animal vive en la sabana?; ¿Qué árbol crece en la sabana?; ¿Qué fruta se cultiva?; ¿Qué ave se ve en la costa?;Senegal; Elefante; Baobab; Mango; Pelícano;Níger; León; Roble; Plátano; Loro;Congo; Tigre; Pino; Uva; Águila;Su capital es Dakar; Allí se toca música con tambores; Tienen luchadores muy fuertes; Sus mercados son muy coloridos; Hay una isla llamada Gorée con casas antiguas;"No has podido salir del país porque estás atrapado en un atasco de ""car rapides"" (autobuses coloridos) en Dakar."; No has podido salir del país porque te has unido a un combate de lucha senegalesa y eres el nuevo campeón.; No has podido salir del país porque un griot está contando la historia de tu familia y ha llegado al siglo XII.; No has podido salir del país porque el Lago Rosa ha decidido volverse temporalmente verde.;" No has podido salir del país porque la ""teranga"" (hospitalidad) es tan fuerte que tus anfitriones han cerrado la puerta con llave."
"Serbia	";El gritón aterrador Drekavac;El hada de la montaña Vila;El hombre con cabeza de perro Psoglav;La bruja nocturna Babaroga;El vampiro Lampir;El tesoro del emperador Constantino en Naissus;El Evangelio de Miroslav;El tesoro del monasterio de Studenica;El legado de Nikola Tesla;La fortaleza de Belgrado;¿Qué río cruza Belgrado?; ¿Qué animal vive en sus bosques?; ¿Qué árbol crece en los parques?; ¿Qué fruta se cultiva?; ¿Qué ave se ve en primavera?;Danubio; Oso pardo; Roble; Ciruela; Golondrina;Rin; León; Pino; Mango; Loro;Vístula; Tigre; Olivo; Uva; Águila;Su capital es Belgrado; Tiene fortalezas junto al río Danubio; Sus bailes tradicionales son muy rápidos; Sus montañas tienen monasterios; La trompeta es un instrumento popular;"No has podido salir del país porque estás en una fiesta ""splav"" (discoteca en un barco) que no terminará hasta que el Danubio se seque."; No has podido salir del país porque te has unido a un partido de waterpolo y te han confundido con un jugador profesional.; No has podido salir del país porque Novak Djokovic está usando la pista de aterrizaje para entrenar.;" No has podido salir del país porque estás intentando comer un ""pljeskavica"" gigante y aún no has llegado a la mitad."; No has podido salir del país porque sigues celebrando la victoria de un festival de trompetas de Gu?a del año pasado.
"Seychelles	";El espíritu caribeño Jumbee;El hombre lobo Loup Garou;El espíritu del saco Tonton Macoute;El demonio Djab;El espíritu maligno Baka;El tesoro del pirata Olivier Levasseur;El Coco de Mer;El atolón de Aldabra;Las playas de Anse Source d'Argent;El legado de la 'unión de las culturas';¿Qué océano rodea Seychelles?; ¿Qué animal marino se ve allí?; ¿Qué árbol crece en la playa?; ¿Qué fruta tropical se cultiva?; ¿Qué ave se ve?;Índico; Tortuga gigante; Coco; Mango; Cotorra;Atlántico; Delfín; Pino; Plátano; Loro;Pacífico; León; Roble; Piña; Águila;Su capital es Victoria; Son islas con playas de arena blanca; Sus tortugas gigantes son muy famosas; Sus aguas son turquesa; Crecen cocoteros en todas partes;No has podido salir del país porque una tortuga gigante de Aldabra se ha sentado en tu toalla y no se mueve.; No has podido salir del país porque te has comido un coco de mer; el fruto más grande del mundo; y ahora no puedes moverte.; No has podido salir del país porque has encontrado el Jardín del Edén y Adán y Eva no te dejan irte.
"Sierra Leona	";El espíritu del agua Kema;La serpiente de río Ninkinanka;El espíritu del bosque Nyenne;El espíritu del agua Gbini;El gigante Kpanda;Los diamantes de sangre;La isla de Bunce (comercio de esclavos);El Árbol de Algodón de Freetown;El tesoro del pueblo Mende;El Parque Nacional de Gola Rainforest;¿Qué río cruza Sierra Leona?; ¿Qué animal vive en la selva?; ¿Qué árbol crece en la selva?; ¿Qué fruta se cultiva?; ¿Qué ave se ve?;Rokel; Elefante; Baobab; Mango; Tucán;Níger; León; Roble; Plátano; Loro;Congo; Tigre; Olivo; Uva; Águila;Su capital es Freetown; Su nombre significa “montaña del león”; Sus playas son tranquilas; Se habla inglés; Allí hay diamantes;No has podido salir del país porque has encontrado un diamante y ahora estás en una disputa con el gobierno.; No has podido salir del país porque el árbol de algodón de Freetown ha decidido crecer un poco más y ha bloqueado la calle.; No has podido salir del país porque te has unido a una sociedad secreta y no puedes revelar sus secretos.; No has podido salir del país porque estás esperando a que el chimpancé del Santuario de Tacugama te devuelva las gafas.; No has podido salir del país porque estás aprendiendo a cocinar arroz jollof y la competición con Nigeria es feroz.
"Singapur	";El hombre aceitoso Orang Minyak;La mujer vampiro Pontianak;El infante ladrón Toyol;El fantasma alargado Hantu Galah;La cabeza voladora Penanggalan;El tesoro del Templo de la Reliquia del Diente de Buda;Los Jardines de la Bahía;El tesoro del naufragio del 'Diana';La fortuna de Sir Stamford Raffles;El Merlion;¿Qué animal se ve en los zoológicos de Singapur?; ¿Qué río cruza la ciudad?; ¿Qué árbol crece en los parques?; ¿Qué fruta tropical se cultiva?; ¿Qué ave se ve en los jardines?;Mono; Singapur; Palmera; Mango; Cotorra;Tigre; Mekong; Pino; Plátano; Loro;León; Amazonas; Roble; Uva; Águila;Es una ciudad-estado; Tiene un aeropuerto con un jardín gigante y cascada; Su símbolo es un león con cola de pez (Merlion); Sus calles están llenas de rascacielos; Se come comida de muchos países;No has podido salir del país porque te han multado por masticar chicle y no puedes pagar la fianza.; No has podido salir del país porque te has perdido en el aeropuerto Jewel y ahora vives junto a la cascada.; No has podido salir del país porque el Merlión ha empezado a escupir cócteles Singapore Sling y hay que aprovecharlos.; No has podido salir del país porque estás esperando a que los Superárboles de Gardens by the Bay terminen su espectáculo de luces.; No has podido salir del país porque estás haciendo cola para comer en un puesto callejero con una estrella Michelin.
"Siria	";El genio del desierto Jinn;El necrófago Ghul;El genio de fuego Ifrit;El poderoso genio Marid;El ser de medio cuerpo Nasnas;El tesoro de la ciudad de Palmira;El alfabeto de Ugarit;El zoco de Alepo;La Gran Mezquita de los Omeyas en Damasco;El Crac de los Caballeros;¿Qué desierto hay en Siria?; ¿Qué animal vive allí?; ¿Qué río cruza el país?; ¿Qué árbol crece en los oasis?; ¿Qué fruta se cultiva?;Desierto sirio; Camello; Éufrates; Olivo; Granada;Sahara; León; Amazonas; Pino; Manzana;Gobi; Tigre; Nilo; Baobab; Mango;Su capital es Damasco; Es una de las ciudades más antiguas del mundo; Tiene un mercado enorme llamado zoco; Allí hay ruinas romanas en Palmira; Sus casas tradicionales tienen patios con fuentes;No has podido salir del país porque te has perdido en el zoco de Damasco; uno de los más antiguos del mundo.; No has podido salir del país porque estás ayudando a reconstruir el Krak de los Caballeros y es un proyecto grande.; No has podido salir del país porque te han invitado a una casa damascena y la hospitalidad te impide marcharte.; No has podido salir del país porque estás escuchando a un cuentacuentos en una cafetería y la historia es fascinante.
"Somalia	";El poeta sobrenatural Buraanbur;El hombre con garras de hierro Qalbi-qabe;El ave gigante Gorgor;El león gigante Waranle;El espíritu vengativo Abes;El tesoro del Sultanato de Adal;El incienso y la mirra de la Tierra de Punt;El puerto antiguo de Opone;El arte rupestre de Laas Geel;El tesoro del pirata Henry Every;¿Qué desierto cruza Somalia?; ¿Qué animal vive en él?; ¿Qué mar baña el país?; ¿Qué árbol crece en la costa?; ¿Qué fruta se cultiva?;Ogadén; Camello; Índico; Acacia; Mango;Sahara; León; Atlántico; Pino; Plátano;Kalahari; Tigre; Rojo; Olivo; Uva;Su capital es Mogadiscio; Sus costas son muy largas; Allí viven camellos; Sus casas tienen techos en punta; Sus canciones cuentan historias;No has podido salir del país porque tu camello; el mejor del mercado de Hargeisa; ha sido elegido para una carrera importante.;" No has podido salir del país porque te has unido a un grupo de poetas nómadas y estás componiendo un ""gabay"" épico."; No has podido salir del país porque los piratas han decidido cambiar de negocio y ahora gestionan una aerolínea de bajo coste.
"Sri Lanka	";La deidad serpiente N?ga;El demonio de la naturaleza Yaksha;El demonio del cementerio Mahasona;El demonio de la sangre Riri Yaka;El demonio de la enfermedad Gopalu;El Diente de Buda en Kandy;El Zafiro Estrella de la India (encontrado allí);La fortaleza de Sigiriya;El tesoro de los reyes de Ceilán;Las plantaciones de té;¿Qué animal vive en los parques nacionales?; ¿Qué río cruza la isla?; ¿Qué árbol crece en los bosques?; ¿Qué fruta se cultiva?; ¿Qué ave se ve?;Elefante; Mahaweli; Palmera; Coco; Tucán;León; Amazonas; Roble; Mango; Loro;Tigre; Nilo; Pino; Plátano; Águila;Su capital es Colombo; Tiene forma de lágrima en el mar; Allí hay plantaciones de té; Sus elefantes desfilan en fiestas; Sus playas tienen palmeras;No has podido salir del país porque un elefante ha bloqueado la vía del tren y se niega a moverse hasta que le den té de Ceilán.; No has podido salir del país porque estás intentando subir a la roca de Sigiriya y hay un atasco de turistas.; No has podido salir del país porque te has unido a un partido de críquet en la playa y se ha alargado.; No has podido salir del país porque un monje budista te ha retado a un concurso de meditación.; No has podido salir del país porque tu tuk-tuk ha decidido unirse a un desfile de Kandy Perahera.
"Suazilandia (Eswatini)	";El duende maligno Tikoloshe;La serpiente de agua Mamlambo;La serpiente del trueno Inkanyamba;El hombre hiena Grotesque;El murciélago demonio Popobawa;La mina de Ngwenya (la más antigua);El legado del rey Sobhuza II;La Reserva de Vida Silvestre de Mkhaya;La ceremonia Umhlanga (Danza de la Caña);El arte y la artesanía suazi;¿Qué animal vive en sus montañas?; ¿Qué río cruza el país?; ¿Qué árbol crece allí?; ¿Qué fruta se cultiva?; ¿Qué ave se ve?;Cebra; Usutu; Acacia; Naranja; Cigüeña;León; Amazonas; Pino; Plátano; Loro;Elefante; Nilo; Roble; Mango; Águila;Su capital es Mbabane; Es un país muy pequeño; Su rey aún manda en fiestas tradicionales; Allí se baila con escudos y lanzas; Sus montañas son verdes;No has podido salir del país porque el rey Mswati III te ha invitado al baile anual de la Umhlanga (danza de las cañas) y eres el juez.; No has podido salir del país porque te has perdido en la Reserva de Caza de Mkhaya y has sido adoptado por un rinoceronte negro.; No has podido salir del país porque estás esperando a que el hechicero local (sangoma) termine de leer tu futuro en los huesos.; No has podido salir del país porque te han nombrado guardia real honorífico.; No has podido salir del país porque la frontera está cerrada por una ceremonia de la monarquía que dura una semana.
"Sudáfrica	";El duende acuático Tikoloshe;La serpiente del trueno Inkanyamba;La serpiente elefante Grootslang;El duende maligno Tokoloshe;La diosa serpiente Mamlambo;El diamante Cullinan;El oro de las minas de Witwatersrand;El tesoro de Kruger;El Hombre de las cavernas de Sterkfontein;La Isla Robben;¿Qué animal grande vive allí?; ¿Qué río cruza el país?; ¿Qué montaña es famosa?; ¿Qué árbol crece en la sabana?; ¿Qué ave se ve en la costa?;Elefante; Limpopo; Drakensberg; Baobab; Flamenco;León; Amazonas; Alpes; Roble; Águila;Tigre; Nilo; Everest; Pino; Paloma;Su capital es Pretoria (y otras dos más); Allí está el Cabo de Buena Esperanza; Viven los “cinco grandes” animales de safari; Allí se celebró un Mundial de fútbol; La Table Mountain está junto al mar;No has podido salir del país porque un pingüino te ha robado las llaves del coche en la playa de Boulders.;" No has podido salir del país porque estás atrapado en un ""braai"" (barbacoa) y la carne no se acaba nunca.";" No has podido salir del país porque el teleférico de la Montaña de la Mesa está cerrado por culpa del viento ""Cape Doctor""."; No has podido salir del país porque has soplado una vuvuzela tan fuerte que has alterado el espacio-tiempo.; No has podido salir del país porque estás esperando a que Nelson Mandela te dé permiso desde el más allá.
"Sudán	";El genio del desierto Jinn;El necrófago Ghul;El genio de fuego Ifrit;El espíritu Bori;El espíritu Zar;Las pirámides de Meroe;El tesoro de los faraones negros;El oro del antiguo Reino de Kush;El Templo de Soleb;El Nilo Blanco y el Nilo Azul;¿Qué desierto cubre el país?; ¿Qué animal vive allí?; ¿Qué río cruza Sudán?; ¿Qué árbol resiste la sequía?; ¿Qué fruto se cultiva?;Nubio; Camello; Nilo; Acacia; Dátiles;Sahara; León; Amazonas; Roble; Mango;Kalahari; Tigre; Sena; Olivo; Plátano;Su capital es Jartum; Allí se juntan dos ríos del Nilo; Tiene pirámides antiguas en Meroe; Sus desiertos son muy secos; La gente viaja en burros y camellos;No has podido salir del país porque te has perdido entre las más de 200 pirámides de Meroe y no encuentras la salida.; No has podido salir del país porque una tormenta de arena (haboob) ha decidido aparcar sobre la capital.; No has podido salir del país porque estás en una ceremonia del café que implica siete rondas y vas por la segunda.; No has podido salir del país porque te has unido a un grupo de derviches giradores y ahora estás mareado.; No has podido salir del país porque el Nilo Blanco y el Nilo Azul no se ponen de acuerdo sobre qué camino tomar.
"Sudán del Sur	";El espíritu del río Atipa;El espíritu del cielo Kwok;El espíritu ancestral Jok;El monstruo acuático Lolimi;El espíritu de la tierra Mabok;Las manadas de elefantes del Parque Nacional de Boma;Las reservas de petróleo;El legado cultural del pueblo Dinka;El río Nilo Blanco;Los humedales del Sudd;¿Qué río cruza el país?; ¿Qué animal vive en la selva?; ¿Qué árbol crece allí?; ¿Qué fruto se cultiva?; ¿Qué ave se ve?;Nilo Blanco; Elefante; Baobab; Mango; Tucán;Congo; León; Roble; Plátano; Loro;Níger; Tigre; Pino; Uva; Águila;Su capital es Yuba; Es un país muy joven (2011); Sus aldeas tienen chozas redondas; Allí hay jirafas y búfalos; Sus ríos tienen muchos peces;No has podido salir del país porque te han invitado a un campamento de ganado de los Dinka y ahora eres un respetado criador de vacas.; No has podido salir del país porque estás participando en el torneo de lucha libre más importante del año.; No has podido salir del país porque la migración de antílopes tiang ha bloqueado todas las rutas.; No has podido salir del país porque el río Nilo ha decidido celebrar una fiesta de la espuma.; No has podido salir del país porque te han nombrado jefe de una aldea y tienes que resolver una disputa sobre una vaca.
"Suecia	";El espíritu femenino del bosque Skogsrå;El espíritu acuático Näcken;El fantasma de un niño no bautizado Myling;La cerda fantasma Gloso;El dragón serpiente Lindorm;El tesoro del barco de guerra Vasa;El tesoro de los vikingos de la isla de Gotland;El Códice Argenteus (Biblia de Plata);El tesoro de la corona sueca;El Palacio de Drottningholm;¿Qué animal vive en los bosques?; ¿Qué río cruza el país?; ¿Qué árbol crece allí?; ¿Qué fruta se cultiva?; ¿Qué ave se ve en invierno?;Alce; Göta; Abeto; Arándano; Cisne;León; Rin; Pino; Mango; Águila;Tigre; Danubio; Roble; Uva; Paloma;Su capital es Estocolmo; Allí nacieron los Premios Nobel; Sus inviernos son fríos con nieve; Tienen casas de madera rojas; Les gustan los alces;No has podido salir del país porque te has quedado atrapado en un IKEA intentando montar una estantería BILLY.;" No has podido salir del país porque es la hora del ""fika"" (pausa para el café) y es ilegal trabajar"; incluso para los pilotos.; No has podido salir del país porque ABBA ha decidido reunirse para un concierto sorpresa en tu puerta de embarque.; No has podido salir del país porque estás esperando a que termine la celebración del solsticio de verano.
"Suiza	";El gusano dragón Tatzelwurm;El grifo heráldico Vogel Gryff;El Basilisco de Basilea;El gigante Gargantúa;El duende Jack o' the Bowl;El oro de los bancos suizos;El tesoro de los duques de Borgoña en Grandson;El León de Lucerna;El CERN (tesoro científico);La industria relojera;¿Qué montaña es famosa?; ¿Qué animal vive en los Alpes?; ¿Qué río cruza el país?; ¿Qué árbol crece en las montañas?; ¿Qué ave se ve?;Matterhorn; Cabra montés; Rin; Pino; Águila;Everest; León; Amazonas; Roble; Loro;Mont Blanc; Tigre; Nilo; Abeto; Paloma;Su capital es Berna; Sus montañas son los Alpes; Allí se hace chocolate y relojes; Tiene lagos azules; Sus casas parecen de cuento;No has podido salir del país porque tu reloj de cuco se ha vuelto loco y ha retrocedido el tiempo 24 horas.; No has podido salir del país porque estás atrapado en un atasco de vacas que van a los pastos de verano.; No has podido salir del país porque tu cuenta bancaria ha sido congelada por una fondue de queso solidificada.; No has podido salir del país porque te has quedado atrapado en el CERN y has abierto un portal a otra dimensión.; No has podido salir del país porque el Matterhorn no te ha dado permiso para irte.
"Surinam	";El espíritu codicioso Baccoo;El espíritu del agua Lebasi;El sistema de creencias Winti;El espíritu del bosque Apuku;El alma en pena Yorka;El oro de la Guayana;La ciudad colonial de Paramaribo;El Parque Natural de la Reserva de Surinam Central;El legado de las culturas cimarronas;El tesoro de la biodiversidad amazónica;¿Qué río cruza el país?; ¿Qué animal vive en la selva?; ¿Qué árbol crece allí?; ¿Qué fruta se cultiva?; ¿Qué ave se ve?;Surinam; Jaguar; Baobab; Plátano; Tucán;Amazonas; León; Roble; Mango; Loro;Níger; Tigre; Olivo; Uva; Águila;Su capital es Paramaribo; Está en Sudamérica; Allí se habla neerlandés; Sus selvas son muy grandes; Sus casas coloniales son de madera;No has podido salir del país porque estás en medio de la selva y tu guía es un perezoso.; No has podido salir del país porque te has unido a una comunidad cimarrona y estás aprendiendo sus tradiciones.; No has podido salir del país porque una rana dardo venenosa se ha sentado en tu pasaporte.; No has podido salir del país porque el río Surinam ha decidido celebrar un carnaval de pirañas.; No has podido salir del país porque la sinagoga y la mezquita que están una al lado de la otra han organizado un evento interreligioso y estás de invitado.
"Tailandia	";La deidad serpiente N?ga;La deidad pájaro Garuda;La cabeza voladora Krasue;El espíritu o fantasma Phi;La criatura mitad humana mitad ave Kinnara;El Buda de Oro de Wat Traimit;El Buda de Esmeralda;El tesoro de la antigua capital de Ayutthaya;Las joyas de la corona tailandesa;El tesoro del naufragio del 'Royal Nanhai';¿Qué animal vive en sus selvas?; ¿Qué río cruza el país?; ¿Qué árbol crece en los bosques?; ¿Qué fruta tropical se cultiva?; ¿Qué ave se ve?;Elefante; Chao Phraya; Palmera; Mango; Tucán;Tigre; Mekong; Roble; Plátano; Loro;León; Nilo; Pino; Uva; Águila;Su capital es Bangkok; Sus templos tienen techos dorados; Allí se monta en tuk-tuk; Sus playas tienen barcas largas; Se hace la danza con manos como flores;No has podido salir del país porque un mono te ha robado la cartera en Lopburi y la ha cambiado por plátanos.; No has podido salir del país porque estás atrapado en un atasco de tuk-tuks en Bangkok.; No has podido salir del país porque has participado en el festival de Songkran (año nuevo) y todavía no te has secado.; No has podido salir del país porque te has quedado dormido durante un masaje tailandés y te has despertado una semana después.; No has podido salir del país porque un elefante ha decidido pintar un cuadro en la pista de aterrizaje.
"Tanzania	";El murciélago demonio Popobawa;El demonio Shetani;El gato gigante Mngwa;El hombre mono Agogwe;El espíritu mariposa Kipepeo;El Monte Kilimanjaro;El cráter del Ngorongoro;Las minas de tanzanita;Los fósiles de la garganta de Olduvai;Las puertas de Zanzíbar;¿Qué montaña es famosa?; ¿Qué animal vive en la sabana?; ¿Qué lago es grande?; ¿Qué árbol crece en la sabana?; ¿Qué ave se ve en los humedales?;Kilimanjaro; León; Victoria; Baobab; Flamenco;Everest; Tigre; Titicaca; Pino; Águila;Mont Blanc; Elefante; Titicaca; Roble; Loro;Su capital es Dodoma; Allí está el monte Kilimanjaro; Viven leones y cebras en el Serengeti; Sus islas tienen especias; Se puede visitar Zanzíbar;No has podido salir del país porque estás esperando a que Freddie Mercury (nacido en Zanzíbar) dé una señal desde el cielo.; No has podido salir del país porque una manada de leones se ha dormido a la sombra del avión.; No has podido salir del país porque estás intentando escalar el Kilimanjaro y te has quedado sin aliento en el primer kilómetro.; No has podido salir del país porque la Gran Migración de ñus ha decidido pasar por el vestíbulo del aeropuerto.;" No has podido salir del país porque te has quedado en estado ""hakuna matata"" permanente."
"Tayikistán	";El demonio gigante Div;El hada Peri;El dragón Ajdar;La mujer salvaje Almasti;El gigante Barzangi;El tesoro del Oxus;El oro de las montañas Pamir;La ciudad de Sarazm;La fortaleza de Hissar;El legado del Imperio Samánida;¿Qué montaña es famosa?; ¿Qué animal vive allí?; ¿Qué río cruza el país?; ¿Qué árbol crece en los valles?; ¿Qué ave se ve?;Pamir; Oso; Panj; Pino; Águila;Himalaya; Tigre; Nilo; Roble; Loro;Alpes; León; Sena; Olivo; Paloma;Su capital es Dusambé; Tiene montañas muy altas; Sus pueblos tienen alfombras de colores; Allí pasa la Ruta de la Seda; Sus ríos vienen de los glaciares;No has podido salir del país porque estás atrapado en la autopista de Pamir; la segunda más alta del mundo; por una cabra montesa.; No has podido salir del país porque te has unido a una partida de buzkashi y tu equipo va ganando.; No has podido salir del país porque estás esperando a que el lago Iskanderkul
"Timor Oriental	";El espíritu de la tierra Buan;Lo sagrado Lulik;El alma de los muertos Matebian;El ancestro Cocodrilo;El espíritu del mar Atan;Los arrecifes de coral del Triángulo de Coral;El café de Timor;El legado de la resistencia timorense;El Cristo Rei de Dili;Los textiles 'Tais';¿Qué océano rodea Timor?; ¿Qué animal marino se ve allí?; ¿Qué árbol crece en la costa?; ¿Qué fruta tropical se cultiva?; ¿Qué ave se ve?;Pacífico; Tiburón ballena; Palmera; Coco; Cotorra;Índico; Delfín; Roble; Mango; Loro;Atlántico; León; Pino; Piña; Águila;Su capital es Dili; Es un país joven; Sus playas son tranquilas; Allí viven cocodrilos; La gente habla portugués y tetum;No has podido salir del país porque estás buceando en el Triángulo de Coral y has descubierto una nueva especie.; No has podido salir del país porque un cocodrilo sagrado ha bloqueado el camino.;" No has podido salir del país porque te han invitado a una ceremonia de tejido de ""tais"" y tienes que terminar la tuya."; No has podido salir del país porque estás esperando a que el Cristo Rei de Dili te dé su bendición.; No has podido salir del país porque el café local es tan bueno que has decidido montar una cooperativa.
"Togo	";El dios araña Anansi;La diosa del agua Mami Wata;El hada del bosque Aziza;El hechicero vampiro Obayifo;La criatura con dientes de hierro Asanbosam;El mercado de fetiches de Akodessewa;El tesoro del pueblo Ewe;Las casas de barro 'Takienta' de Koutammakou;El legado del 'Reino del Oro' Ashanti (influencia);El puerto de Lomé;¿Qué río cruza Togo?; ¿Qué animal vive en la selva?; ¿Qué árbol crece allí?; ¿Qué fruta se cultiva?; ¿Qué ave se ve?;Mono; Elefante; Baobab; Mango; Tucán;Níger; León; Roble; Plátano; Loro;Congo; Tigre; Pino; Uva; Águila;Su capital es Lomé; Sus mercados venden telas de colores; Allí se toca el tambor; Sus casas son de barro; Sus playas son largas;No has podido salir del país porque te han llevado al mercado de fetiches de Akodessewa y te han convertido en un amuleto de la suerte.;" No has podido salir del país porque las ""Nana Benz"""; las famosas vendedoras de telas; han bloqueado el aeropuerto con sus mercancías.; No has podido salir del país porque estás en medio de una ceremonia vudú y el espíritu del trueno te ha pedido que te quedes.
"Tonga	";La diosa del inframundo Hikule'o;La diosa de la luna Sina;El semidiós embaucador Maui;El rey anguila Tui Tofua;El demonio pulpo Fe'e;La tumba real de los 'langi';El trilito de Ha'amonga 'a Maui;El legado del Imperio Tu'i Tonga;Las ballenas jorobadas;El tesoro del naufragio del 'Port-au-Prince';¿Qué océano rodea Tonga?; ¿Qué animal marino se ve allí?; ¿Qué árbol crece en la playa?; ¿Qué fruta tropical se cultiva?; ¿Qué ave se ve?;Pacífico; Tiburón; Palmera; Coco; Cotorra;Índico; Delfín; Roble; Mango; Loro;Atlántico; León; Pino; Plátano; Águila;Su capital es Nukualofa; Son islas en el Pacífico; Allí hay reyes y reinas; La gente baila con collares de flores; Se come pescado con coco;No has podido salir del país porque el rey te ha invitado a un banquete y se sirve un cerdo asado de 100 kilos.; No has podido salir del país porque una ballena jorobada y su cría están jugando en la bahía y no quieres molestarlas.; No has podido salir del país porque es domingo y todo el país; incluyendo el aeropuerto; está cerrado por ley.
